id,version,block,emotionapi,imgfilename,participant,imgfps,imgtimestamp,anger,joy,sorrow,surprise,unknown,detection
59626abdfbc5be35a4a08bc2,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-1785.jpg,1,3fps,imgtimestamp,0,0,0,0,99.99127984046936,true
59626abdfbc5be35a4a08bc3,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-178.jpg,1,3fps,imgtimestamp,0,99.92116093635559,0,0,0,true
59626abdfbc5be35a4a08bc4,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-235.jpg,1,3fps,imgtimestamp,0,0,0,0,99.99974966049194,true
59626abdfbc5be35a4a08bc5,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-815.jpg,1,3fps,imgtimestamp,0,0,0,0,99.99964237213135,true
59626abdfbc5be35a4a08bc6,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-352.jpg,1,3fps,imgtimestamp,0,99.99909400939941,0,0,0,true
59626abdfbc5be35a4a08bc7,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-1525.jpg,1,3fps,imgtimestamp,0,0,0,0,99.92416501045227,true
59626abdfbc5be35a4a08bc8,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-531.jpg,1,3fps,imgtimestamp,0,99.99651908874512,0,0,0,true
59626abefbc5be35a4a08bc9,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-1419.jpg,1,3fps,imgtimestamp,0,0,0,0,99.99761581420898,true
59626abefbc5be35a4a08bca,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-367.jpg,1,3fps,imgtimestamp,0,0,0,0,99.63808059692383,true
59626abefbc5be35a4a08bcb,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-873.jpg,1,3fps,imgtimestamp,0,99.99756813049316,0,0,0,true
59626abefbc5be35a4a08bcc,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-1779.jpg,1,3fps,imgtimestamp,0,0,0,0,99.99597072601318,true
59626abefbc5be35a4a08bcd,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-909.jpg,1,3fps,imgtimestamp,0,0,0,0,99.99978542327881,true
59626abefbc5be35a4a08bce,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-925.jpg,1,3fps,imgtimestamp,0,99.98676776885986,0,0,0,true
59626abefbc5be35a4a08bcf,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-440.jpg,1,3fps,imgtimestamp,0,99.94091391563416,0,0,0,true
59626abefbc5be35a4a08bd0,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-935.jpg,1,3fps,imgtimestamp,0,0,0,0,99.98272657394409,true
59626abffbc5be35a4a08bd1,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-1425.jpg,1,3fps,imgtimestamp,0,0,0,0,99.99936819076538,true
59626abffbc5be35a4a08bd2,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-1637.jpg,1,3fps,imgtimestamp,0,99.9993085861206,0,0,0,true
59626abffbc5be35a4a08bd3,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-2064.jpg,1,3fps,imgtimestamp,0,0,0,0,99.99290704727173,true
59626abffbc5be35a4a08bd4,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-1607.jpg,1,3fps,imgtimestamp,0,0,0,0,91.26296639442444,true
